# M=3^1, N=3, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -6.000000000000001 -6.000000000000001 0.0 -8.881784197001248e-16 1.0904155214639308 0.0
1.0 -5.095932280272493 -5.916344214955242 0.8204119346827488 0.01863309947477152 0.986256813310292 0.0
2.0 -4.343100154146693 -5.723799219502912 1.3806990653562192 0.061838416514373135 0.8791464566083815 -7.034179982199181e-16
3.0 -3.708203932499369 -5.454101966249684 1.7458980337503156 0.12306302826999532 0.7669569464902013 1.2541280539993583e-16
4.0 -3.1749615194662155 -5.120682151873797 1.945720632407581 0.19977553511489726 0.6533882074645717 0.0
5.0 -2.731527175908004 -4.7435020904458325 2.0119749145378285 0.2876620212438178 0.5454687013276756 5.849123996164312e-17
6.0 -2.36614562732369 -4.348632597318357 1.982486969994667 0.38048512579725524 0.4493000487632578 1.5808125996511471e-16
7.0 -2.066640639498765 -3.960637213708763 1.8939965742099976 0.47188251506556306 0.3678919836347092 4.445260911712027e-16
8.0 -1.8212495709887389 -3.5969934885682937 1.7757439175795549 0.5569871389290281 0.301337273987203 6.51398927593194e-17
9.0 -1.6194716299755423 -3.2669983202919584 1.647526690316416 0.6330184367978424 0.24800432147410578 -5.3030802715625754e-17
10.0 -1.4524823349771978 -2.973524543258409 1.5210422082812116 0.6990218765722321 0.20564033421334388 3.5469602956751455e-16
11.0 -1.3131552194436291 -2.7154633955581957 1.4023081761145666 0.755269208358784 0.17202613960819269 0.0
12.0 -1.1958672068837528 -2.4897092661373668 1.2938420592536137 0.802687107932286 0.14525361506627624 3.8086179308417843e-16
13.0 -1.096231630974217 -2.2924355662250067 1.1962039352507894 0.84245266807094 0.12378812444396826 -2.6940488474708105e-17
14.0 -1.0108380123441083 -2.1197961325256154 1.1089581201815069 0.8757560833684538 0.10643651540202691 8.415018954571141e-16
15.0 -0.9370302635751167 -1.968256193341943 1.0312259297668263 0.9036838464929309 0.09228582893689236 -2.018146672655243e-17
16.0 -0.8727296945675164 -1.8347137453691813 0.9619840508016648 0.9271750046078442 0.08064143478176393 4.26444258086216e-16
17.0 -0.8162984979358211 -1.7165139071638467 0.9002154092280256 0.9470162981641351 0.07097458000469027 -1.5573084888615572e-17
18.0 -0.7664362214328632 -1.6114147217956178 0.8449785003627547 0.963855245797743 0.06288113631139919 -6.879906826897451e-18
19.0 -0.7221018008304791 -1.5175352517047667 0.7954334508742875 0.9782196614452028 0.0560503135353448 -8.572698560178203e-16
20.0 -0.6824548993528863 -1.4333010782389568 0.7508461788860705 0.990537859961988 0.050241341128231594 0.0
21.0 -0.6468116539986711 -1.3573938989797338 0.7105822449810628 1.001157027510494 0.04526621027484781 -8.781901258485655e-16
22.0 -0.6146111258348295 -1.288707637107248 0.6740965112724184 1.0103589003618971 0.040976914281870114 4.259767811848112e-16
23.0 -0.5853897058859903 -1.2263114282078782 0.6409217223218879 1.0183726917142706 0.03725599008611768 4.2763495982884864e-16
24.0 -0.558761453163518 -1.1694189566819344 0.6106575035184163 1.0253855417777074 0.034009473081695704 -1.5031688839041724e-17
25.0 -0.534402878343934 -1.1173632964266802 0.5829604180827462 1.031550872697273 0.03116161735955158 -3.4337260397840147e-18
26.0 -0.512041079497089 -1.0695763649908498 0.5575352854937609 1.0369950302380817 0.02865091175934894 -3.1588961683298842e-18
27.0 -0.49144442232011587 -1.0255721721012594 0.5341277497811434 1.0418225515366089 0.026427051863906734 4.3238880457033535e-16
28.0 -0.47241516550154755 -0.9849331560422048 0.5125179905406573 1.0461203431844728 0.024448621500034146 4.386768917784847e-16
29.0 -0.4547835836764385 -0.9472990190869672 0.49251543541052867 1.0499610001963213 0.022681304354388435 -8.781340969234293e-16
