# M=3^2, N=9, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -35.99999999999999 -35.99999999999999 0.0 -5.5955240441106325e-14 1.1607793153813895 -1.8588009262546192e-14
1.0 -32.350350325913844 -35.7153786060154 3.365028280101552 0.017133939670920743 1.113620596914916 5.339196513291703e-15
2.0 -29.194568316347073 -35.13367646480168 5.939108148454611 0.05137043484790873 1.0633190389583405 3.1130427247673015e-15
3.0 -26.37873187032538 -34.40027433933704 8.021542469011658 0.09403453753062169 1.0120470036815659 1.9759841475353554e-15
4.0 -23.828818155618393 -33.560770928805 9.731952773186606 0.14278504379709692 0.9601238320042946 5.4214120438878446e-17
5.0 -21.501484736542185 -32.63257442928811 11.131089692745924 0.19700198703590305 0.9074823037624952 -7.502468641180948e-15
6.0 -19.368922967506453 -31.620673257968622 12.25175029046217 0.25683100760241623 0.8539482583155935 -2.6091215876872793e-15
7.0 -17.412526199093243 -30.52279035398227 13.110264154889027 0.32291205809530793 0.79930123221071 -1.0373115151104328e-14
8.0 -15.61977386274348 -29.331388796588545 13.711614933845064 0.3963109078486344 0.7432825611877033 6.144575021652364e-16
9.0 -13.982504770841086 -28.035064022171973 14.052559251330887 0.478492176675957 0.6856227812917317 -1.6698782576309546e-15
10.0 -12.495759186948415 -26.621251540705796 14.12549235375738 0.5711953726232709 0.6261455683188639 -8.312436576814797e-15
11.0 -11.156679384648736 -25.081981197693782 13.925301813045046 0.6760504784149531 0.5649787356059774 -6.734080519207173e-15
12.0 -9.96313163557285 -23.422926945038114 13.459795309465264 0.793820701564405 0.5028249730806413 -9.017512849350821e-15
13.0 -8.911993427850131 -21.67245323309995 12.76045980524982 0.9234044532182822 0.44112626312775116 1.4140033031683938e-14
14.0 -7.997479263240499 -19.883837702424373 11.886358439183875 1.0611274409104898 0.3819092359509969 6.179885379730347e-16
15.0 -7.210192557547033 -18.12560856850636 10.91541601095933 1.2010142235818533 0.3272711257131594 -6.495782811808865e-16
16.0 -6.537398042048797 -16.463517242343826 9.92611920029503 1.3362044319630964 0.27877324164892425 6.804199992311842e-16
17.0 -5.964346913377042 -14.944723596087666 8.980376682710624 1.4607892694594358 0.2371043662160158 -8.80446275981675e-16
18.0 -5.475952175276893 -13.591968724005149 8.116016548728256 1.5710492376533156 0.20213438781026374 -1.4758140016696514e-14
19.0 -5.0581407047561475 -12.407102955648249 7.3489622508921 1.6656551175625902 0.17320050257234346 5.532973269620636e-15
20.0 -4.698605468529519 -11.378613773961852 6.6800083054323345 1.745117336757117 0.1494123966178654 -6.086341515364055e-15
21.0 -4.387028760987359 -10.488663767021905 6.101635006034545 1.8110086160953685 0.12986472305172517 1.0137287818846171e-16
22.0 -4.114977444331709 -9.717876319848498 5.6028988755167894 1.865314391204428 0.11374627288046807 -2.5018115262973504e-15
23.0 -3.8756502046511954 -9.047942757232128 5.172292552580933 1.91002126760616 0.10037742696735083 -1.1172088995723842e-15
24.0 -3.663589954679434 -8.462735314560101 4.799145359880667 1.9469115096672234 0.08920931082736194 5.8761890343123996e-15
25.0 -3.4744170720700915 -7.948574993380243 4.474157921310151 1.9774915034406968 0.07980702080492406 1.7262449383993063e-15
26.0 -3.3046037943927598 -7.4940923898012315 4.189488595408472 2.0029919895074215 0.07182885417805253 -9.986014663589158e-15
27.0 -3.1512922858894963 -7.089930918942519 3.9386386330530234 2.0243996816075724 0.06500683716106744 6.180756075849296e-15
28.0 -3.012151536560896 -6.72841804468414 3.7162665081232444 2.0424981240313973 0.059130355325588295 -1.4198505310557445e-14
29.0 -2.8852661659189947 -6.403260035386101 3.517993869467106 2.0579072955571465 0.054033101858203085 -1.740606603267489e-14
30.0 -2.769050407963579 -6.109279807747503 3.3402293997839236 2.0711178902759277 0.04958295037800688 8.499292240974865e-15
31.0 -2.6621815629334873 -5.842200575910903 3.180019012977416 2.082519359534905 0.045674201743302396 2.982133495535467e-15
32.0 -2.56354835044343 -5.59847105597626 3.0349227055328294 2.0924221584826697 0.042221680438604255 -6.310592869599531e-15
33.0 -2.472210630792216 -5.375125778986289 2.902915148194073 2.101075103190662 0.03915624184103649 -1.633345484621805e-14
34.0 -2.3873678043643443 -5.169673992986569 2.7823061886222247 2.108678799317064 0.036421344781217675 -1.7742018167422413e-14
35.0 -2.3083338563647517 -4.980011387442298 2.6716775310775462 2.1153959973135525 0.03397042543572528 1.6276173070581291e-15
36.0 -2.234517514230532 -4.804349847931756 2.5698323337012243 2.121359577724224 0.03176487411752194 -7.098193046579859e-15
37.0 -2.1654063608447527 -4.64116138809718 2.4757550272524274 2.126678722377166 0.029772466899068564 2.0911075053473897e-14
38.0 -2.100554027501884 -4.4891332163140305 2.388579188812146 2.13144370078154 0.027966141843767427 3.944155050730544e-15
39.0 -2.0395698001919444 -4.347131557506172 2.3075617573142275 2.1357295992860004 0.026323037717731444 3.4011869496505383e-15
40.0 -1.9821101294830574 -4.2141723773357675 2.23206224785271 2.139599241386351 0.024823733807810833 -6.4674503560298356e-15
41.0 -1.9278716518350085 -4.089397567898703 2.1615259160636944 2.1431054871182664 0.023451644784029838 -2.647374015971524e-16
42.0 -1.876585418749855 -3.9720554733276225 2.095470054577768 2.1462930537821037 0.022192535859515958 1.1996308242068163e-15
43.0 -1.828012097253298 -3.861484880164963 2.033472782911665 2.1491999658880188 0.021034131887338683 -4.319819830665287e-15
44.0 -1.7819379563013669 -3.757101787404957 1.97516383110359 2.1518587164154535 0.019965800277202583 -1.0207899971446986e-15
45.0 -1.7381714928607617 -3.6583884177555417 1.9202169248947798 2.1542972021048055 0.018978292285693473 -1.9067475829646905e-15
46.0 -1.6965405815918986 -3.564884045088869 1.8683434634969704 2.1565394809135925 0.01806353074728128 -9.802567761518244e-16
47.0 -1.6568900554680959 -3.476177301031188 1.819287245563092 2.158606388755677 0.017214434971219238 -4.479093813234151e-15
48.0 -1.6190796429221797 -3.3918996921452584 1.7728200492230788 2.1605160442937534 0.016424775552236263 -1.612190338731777e-14
49.0 -1.5829822014392354 -3.311720112711895 1.7287379112726595 2.162284264199331 0.01568905339080833 -1.0640751780142239e-14
50.0 -1.548482198821284 -3.235340180164087 1.686857981342803 2.1639249064337873 0.015002398410971285 -7.850900986514932e-16
51.0 -1.5154744023240336 -3.16249025339026 1.647015851066226 2.1654501553680783 0.014360484386313177 -1.3230379066966914e-14
52.0 -1.4838627430264235 -3.0929260203962583 1.6090632773698346 2.1668707596739325 0.01375945700384138 7.508348419290604e-15
53.0 -1.4535593285383457 -3.0264255627285817 1.572866234190236 2.1681962316799748 0.013195872858078416 1.4368263760230095e-14
54.0 -1.4244835817830828 -2.9627868207815222 1.5383032389984397 2.1694350151397175 0.012666647510883302 -8.876180543464272e-15
55.0 -1.3965614873433703 -2.9018253975403145 1.5052639101969443 2.1705946269895264 0.012169011103347307 -4.470592215002909e-15
56.0 -1.3697249299149143 -2.843372649147014 1.4736477192320994 2.1716817775963566 0.01170047028500506 -8.674289172652897e-16
57.0 -1.343911111909008 -2.787274019454229 1.443362907545221 2.172702473141838 0.01125877544867053 1.4408870950567058e-15
58.0 -1.3190620392980563 -2.73338758287579 1.4143255435777338 2.1736621031107672 0.01084189243824788 7.216290265399019e-18
59.0 -1.295124066490007 -2.6815827656800844 1.3864586991900776 2.1745655153105603 0.010447978041734663 -8.051526221562065e-15
60.0 -1.2720474924199154 -2.631739220661357 1.3596917282414414 2.1754170804130624 0.010075358698324927 -5.4162346493961136e-15
61.0 -1.2497862012121337 -2.5837458340684147 1.3339596328562813 2.176220747660378 0.009722511944392867 -1.0716330906676532e-14
62.0 -1.2282973417397023 -2.5374998469319614 1.3092025051922591 2.176980093092659 0.009388050200731631 -9.277290134658314e-16
63.0 -1.2075410412224217 -2.492906075638345 1.285365034415923 2.177698361425768 0.0090707065676084 5.732880671371435e-15
64.0 -1.1874801486902273 -2.4498762188521384 1.262396070161911 2.1783785025189273 0.008769322346853329 -3.5235505737090245e-15
65.0 -1.168080004716289 -2.408328239774157 1.240248235057868 2.1790232032186854 0.008482836053780684 3.008872116868761e-15
66.0 -1.1493082343134078 -2.368185814301846 1.218877579988438 2.179634915239218 0.008210273717931618 2.5552552626267527e-15
67.0 -1.1311345603022966 -2.3293778369887663 1.1982432766864695 2.1802158796347575 0.007950740301789109 -8.915318735587884e-15
68.0 -1.1135306348139458 -2.2918379778222246 1.1783073430082789 2.180768148333692 0.007703412091762976 7.0438996944908605e-15
69.0 -1.0964698868900267 -2.2555042837883454 1.1590343968983188 2.1812936031321395 0.007467529936822603 -1.6920124767161227e-14
70.0 -1.0799273844039652 -2.2203188200011947 1.1403914355972298 2.1817939724852558 0.0072423932280338225 1.1009041524767326e-14
71.0 -1.0638797087471243 -2.18622734585965 1.1223476371125258 2.1822708463844847 0.007027354527078085 -7.961643060065924e-15
72.0 -1.0483048409159976 -2.1531790222831164 1.1048741813671188 2.182725689567157 0.006821814764629652 -1.2108612121512945e-17
73.0 -1.033182057800956 -2.1211261465797064 1.0879440887787504 2.1831598532696255 0.006625218940122011 -2.3006647853716564e-14
74.0 -1.0184918376202452 -2.0900239119325006 1.0715320743122554 2.18357458570543 0.00643705226363705 -8.877497485262237e-15
75.0 -1.004215773566514 -2.059830188861012 1.0556144152944982 2.1839710414249236 0.0062568366885155146 -9.589765402644166e-16
76.0 -0.9903364948409948 -2.030505326335911 1.040168831494916 2.1843502896912974 0.0060841277897644205 9.697063278028559e-15
77.0 -0.9768375943442666 -2.0020119705024317 1.0251743761581649 2.1847133219900434 0.005918511949291722 -8.90674046877949e-15
78.0 -0.9637035623744117 -1.9743148992086463 1.0106113368342347 2.185061058773307 0.005759603813807934 -8.906063649098596e-15
79.0 -0.95091972575523 -1.9473808707439606 0.9964611449887306 2.185394355527263 0.005607043995358096 -1.1597334194574897e-14
80.0 -0.9384721918798247 -1.9211784853750706 0.9827062934952459 2.1857140082396374 0.0054604969884223 -4.428776410284997e-15
