# M=4^1, N=4, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -8.0 -8.0 0.0 8.881784197001256e-16 1.1245500303581366 9.367506770274752e-17
0.1 -7.852270887655462 -7.99779881416776 0.1455279265122984 0.0004944112050734469 1.1135058021639923 3.823292728926943e-16
0.2 -7.708816293090659 -7.9916961225163545 0.28287982942569556 0.0018617252783361751 1.1024548190903265 -4.264017784651762e-16
0.3 -7.569282988152271 -7.982312479566971 0.4130294914146998 0.00395795093772753 1.091422903182669 4.548600814945323e-17
0.4 -7.433371148230334 -7.970130459427006 0.5367593111966715 0.006670789856071412 1.0804246080552666 -2.6031772096521685e-16
0.5 -7.300824118219232 -7.955529278156486 0.6547051599372538 0.009911839514991338 1.0694669158764094 9.513165582108293e-17
0.6 -7.171420487172918 -7.938809735818462 0.7673892486455438 0.013610947455435358 1.0585516632890541 -6.06660345812376e-16
0.7 -7.044967905071376 -7.9202123302998535 0.8752444252284775 0.017712086730129275 1.0476771609702626 0.0
0.8 -6.921298218322731 -7.899930545419966 0.9786323270972356 0.022170310416637484 1.0368392964517796 6.584320685709229e-17
0.9 -6.800263608340925 -7.878120713652818 1.077857105311892 0.026949475752143532 1.0260323017211492 3.339537194635415e-16
1.0 -6.681733497641256 -7.854909432535829 1.1731759348945725 0.03202052108240585 1.0152493002713876 0.0
1.1 -6.5655920471538 -7.830399220980722 1.2648071738269224 0.037360143180375026 1.004482706742366 2.232885179432318e-16
1.2 -6.4517361122336725 -7.80467289849082 1.3529367862571475 0.042949767181708357 0.9937245263360437 9.272649143595397e-16
1.3 -6.340073557228168 -7.777797029148658 1.4377234719204903 0.04877473247615516 0.9829665848237796 0.0
1.4 -6.23052185248073 -7.749824673927101 1.519302821446371 0.054823639605345025 0.972200709549105 1.1086893628528955e-16
1.5 -6.123006895541136 -7.720797626104834 1.5977907305636982 0.061087818454949726 0.9614188751245751 -2.1842652791636852e-16
1.6 -6.017462011739824 -7.690748256197752 1.6732862444579277 0.06756088878883619 0.9506133231477368 -1.819933376129061e-16
1.7 -5.913827099359856 -7.659701058581126 1.7458739592212704 0.07423839182426743 0.9397766623643788 1.0598887786655663e-16
1.8 -5.812047892266685 -7.627673967566365 1.8156260752996805 0.08111747703147877 0.9289019537545664 2.2827007092744103e-16
1.9 -5.712075318666268 -7.5946794931473365 1.8826041744810682 0.08819663230716908 0.9179827836752198 -1.988841795045788e-16
2.0 -5.613864939117684 -7.5607257138990525 1.9468607747813689 0.09547544856769798 0.907013327251356 -4.078045384850332e-16
2.1 -5.5173764503668545 -7.525817155179066 2.008440704812211 0.10295441194602063 0.895988403533517 1.3094710283219965e-16
2.2 -5.422573244243569 -7.48995557386501 2.0673823296214406 0.11063471837363834 0.8849035234461471 -1.966132822116291e-16
2.3 -5.329422012960081 -7.45314066567412 2.123718652714038 0.11851810653703092 0.8737549311858405 -4.1535111128260646e-16
2.4 -5.237892393803692 -7.415370707171072 2.17747831336738 0.1266067061246517 0.8625396394548333 -5.122567436338553e-16
2.5 -5.1479566475311085 -7.376643141543119 2.2286864940120106 0.13490289900040275 0.851255458710371 -4.389369107129814e-16
2.6 -5.059589365825735 -7.336955114868199 2.277365749042464 0.1434091915067491 0.8399010204602061 -1.0193502466727298e-16
2.7 -4.9727672040291075 -7.296303967756496 2.3235367637273887 0.15212809655256723 0.8284757945283505 8.917427606380706e-17
2.8 -4.887468636047601 -7.254687685790484 2.367219049742882 0.16106202450478763 0.8169801001465075 -8.016627299045656e-17
2.9 -4.803673728899333 -7.212105311040267 2.408431582140934 0.1702131821978005 0.8054151106908348 8.810252843648445e-17
3.0 -4.721363934828824 -7.1685573160313005 2.447193381202476 0.1795834796140702 0.7937828518769189 3.535834894151591e-16
3.1 -4.640521899298101 -7.124045940848958 2.483524041550856 0.189174443982967 0.7820861932450679 -5.544523529054983e-16
3.2 -4.561131283477149 -7.078575493548719 2.51744421007157 0.19898714119935396 0.7703288328104589 1.1558451589185037e-16
3.3 -4.483176600115986 -7.0321526136808465 2.548976013564861 0.20902210458374662 0.7585152748150987 7.58836179552634e-17
3.4 -4.406643061893434 -6.984786498516552 2.578143436623118 0.21927927109521586 0.74665080059818 2.7895523613023205e-16
3.5 -4.331516441511434 -6.936489091465907 2.6049726499544725 0.22975792516970744 0.7347414326943956 2.9360363838425013e-16
3.6 -4.257782942943846 -6.8872752321932005 2.629492289249354 0.2404566503916325 0.7227938923728356 -6.646122498450827e-16
3.7 -4.185429083359625 -6.837162768051646 2.6517336846920205 0.2513732892178269 0.7108155509379243 6.628315535778624e-17
3.8 -4.114441585325883 -6.786172626663675 2.671731041337792 0.2625049109619014 0.6988143752245415 5.824891002220002e-16
3.9 -4.04480727895976 -6.7343288497531155 2.6895215707933557 0.27384778821546335 0.6867988678278104 -6.609508516393129e-16
4.0 -3.976513013742054 -6.681658588676612 2.7051455749345585 0.2853973818331447 0.6747780027099246 -7.73446880600918e-17
4.1 -3.909545579732742 -6.628192062489685 2.7186464827569434 0.29714833454289474 0.6627611569178925 -7.146867935641112e-17
4.2 -3.8438916379411374 -6.573962479801243 2.7300708418601056 0.30909447316436706 0.6507580392239425 -1.360655702582924e-16
4.3 -3.7795376596038732 -6.51900592610363 2.739468266499757 0.32122881932962133 0.6387786165614728 4.4214246404941967e-16
4.4 -3.716469874114 -6.463361218696726 2.7468913445827265 0.3335436085043038 0.6268330391713964 -6.221024940852187e-16
4.5 -3.6546742253267266 -6.407069731738579 2.752395506411853 0.3460303170080712 0.6149315653954807 1.287532785125657e-16
4.6 -3.5941363359432854 -6.350175194336516 2.7560388583932305 0.3586796966327337 0.6030844870533454 3.79246159851325e-16
4.7 -3.5348414796462775 -6.292723464928569 2.7578819852822916 0.37148181635928273 0.5913020563189134 -1.2709964937517582e-16
4.8 -3.4767745606293756 -6.234762285483424 2.7579877248540487 0.3844261105836013 0.5795944149705702 5.0032345565405e-16
4.9 -3.419920100133005 -6.17634101925926 2.7564209191262545 0.3975014331778531 0.5679715268291428 0.0
5.0 -3.3642622295673523 -6.117510376001138 2.7532481464337857 0.4106961166431879 0.5564431141209302 2.607180313459474e-16
5.1 -3.309784689775884 -6.0583221285193805 2.7485374387434964 0.42399803555120896 0.5450185984122639 5.3364566567079144e-17
5.2 -3.256470835967854 -5.998828824576616 2.7423579886087626 0.43739467342848876 0.5337070466607812 3.306915436176024e-16
5.3 -3.2043036478278775 -5.939083497921192 2.734779850093315 0.45087319221109473 0.5225171228195853 1.1651826329621391e-18
5.4 -3.153265744295313 -5.879139382143387 2.7258736378480735 0.4644205033852468 0.5114570453177447 5.4927016852487075e-17
5.5 -3.1033394024964895 -5.819049630805369 2.71571022830888 0.4780233399357536 0.5005345506270522 5.1643737278072934e-17
