# M=6^1, N=6, PBC
# U/t E0/t <K>/t <V>/t S2(n=3) S2(l=3) Eop(l=3)
0.0 -12.000000000000002 -12.000000000000002 0.0 -8.881784197001248e-16 1.4890540950776603 1.0200174038743636e-15
0.1 -11.755689809325863 -11.994661869633855 0.2389720603079923 0.0024696118691751932 1.4510113166744638 0.0003813093018073566
0.2 -11.521466972636288 -11.98090911406079 0.45944214142450135 0.008689952702290305 1.418811990417946 0.0012787741542335956
0.3 -11.295823876658385 -11.961065310149404 0.6652414334910182 0.017438481570025092 1.390908527137564 0.0024481511056892993
0.4 -11.0776552741044 -11.936570508075725 0.8589152339713262 0.027963701879130838 1.3662582719141563 0.003749438532380538
0.5 -10.86612073430889 -11.908366424159489 1.0422456898505996 0.03978385035132908 1.3441330887821805 0.005100707894301641
0.6 -10.66056201175483 -11.87709670456847 1.2165346928136378 0.05257937393115707 1.3240080585975826 0.0064535626404655265
0.7 -10.46045092363121 -11.843217466152128 1.382766542520918 0.06613242572862983 1.3054939316674468 0.007779537505413208
0.8 -10.265355091667608 -11.807061501462494 1.5417064097948856 0.08029127344043924 1.2882946654497358 0.00906228968493088
0.9 -10.074914624026714 -11.768877236009029 1.6939626119823143 0.0949485517438448 1.2721798699795177 0.010292980728117719
1.0 -9.888825759982236 -11.728853276543044 1.840027516560808 0.1100275315205209 1.2569664157014666 0.011467477629321354
1.1 -9.706829096177067 -11.687134399850411 1.9803053036733436 0.1254732005286853 1.2425058478938138 0.012584622097056374
1.2 -9.528700916289774 -11.643832277224522 2.1151313609347477 0.14124632304533033 1.2286755841192754 0.013645142849395718
1.3 -9.354246676849932 -11.599032862543275 2.244786185693342 0.15731939465742942 1.215372638332166 0.014650963155424383
1.4 -9.183296024853178 -11.552801610479861 2.3695055856266833 0.1736738315822708 1.20250907066772 0.015604755508902928
1.5 -9.015698925241603 -11.505187252150208 2.4894883269086057 0.1902979809131511 1.1900086399565533 0.01650965293298163
1.6 -8.85132260666187 -11.456224594034333 2.6049019873724633 0.20718568654472497 1.1778043101763358 0.017369060564242846
1.7 -8.690049119903884 -11.40593664595409 2.7158875260502064 0.2243352369370662 1.165836373776815 0.018186531859608435
1.8 -8.531773361392982 -11.354336283450383 2.8225629220574007 0.2417485784886789 1.1540510280443927 0.0189656865576783
1.9 -8.376401453963647 -11.301427585472421 2.9250261315087736 0.2594307153434098 1.14239928961738 0.019710155563886465
2.0 -8.223849405029556 -11.247206946129864 3.0233575411003075 0.27738924072646864 1.130836165553465 0.020423543056671198
2.1 -8.07404198209721 -11.191664031162071 3.117622049064861 0.29563396106252543 1.1193200223426607 0.02110939942619352
2.2 -7.9269117598823 -11.134782630713527 3.207870870831228 0.31417658504911916 1.107812110343322 0.02177120082457229
2.3 -7.782398303759113 -11.076541446815947 3.294143143056834 0.33303045734604625 1.0962762124827652 0.022412332539711182
2.4 -7.640447462035815 -11.016914844644083 3.3764673826082676 0.3522103217514401 1.0846783941408076 0.02303607436277469
2.5 -7.501010745373666 -10.955873589806211 3.4548628444325455 0.37173210242148247 1.0729868368787976 0.023645586767980363
2.6 -7.364044776096887 -10.893385588770006 3.5293408126731176 0.3916126943536005 1.0611717427332832 0.024243897169191533
2.7 -7.229510793551547 -10.829416645411523 3.599905851859976 0.4118697563291438 1.0492052986044198 0.024833885830627477
2.8 -7.097374204335861 -10.763931243194737 3.666557038858875 0.43252150103332054 1.037061692143783 0.025418271234128882
2.9 -6.967604168339681 -10.696893359362399 3.729289191022718 0.45358647829731624 1.0247171717058199 0.025999594873089032
3.0 -6.840173213239259 -10.628267314552115 3.788094101312855 0.47508334845313355 1.0121501435358575 0.026580205572333128
3.1 -6.7150568715004875 -10.558018658321075 3.842961786820588 0.49703064373474903 0.9993412995545695 0.02716224353636917
3.2 -6.592233335127931 -10.486115088101286 3.8938817529733543 0.5194465165538478 0.9862737689711789 0.027747624412957504
3.3 -6.4716831244152635 -10.41252739609031 3.9408442716750463 0.5423484743608058 0.9729332866118843 0.028338023728467124
3.4 -6.353388767846461 -10.337230435529362 3.9838416676829014 0.5657531016917833 0.959308370377691 0.028934862107997283
3.5 -6.237334491097284 -10.260204094786424 4.02286960368914 0.5896757709088182 0.9453904997372207 0.029539291736048676
3.6 -6.123505913811019 -10.181434264735373 4.057928350924353 0.6141303440570166 0.9311742867053262 0.030152184541916423
3.7 -6.0118897534851286 -10.100913782220424 4.089024028735295 0.6391288691776646 0.9166576304464022 0.03077412260569392
3.8 -5.902473536411141 -10.018643330060982 4.116169793649842 0.6646812753033212 0.9018418465551892 0.031405391274115735
3.9 -5.795245316158879 -9.934632272236566 4.139386956077688 0.6907950711899487 0.8867317622824065 0.03204597544835901
4.0 -5.690193400584445 -9.8488994017553 4.158706001170856 0.7174750535726574 0.8713357695450706 0.03269555945732651
4.1 -5.587306088763575 -9.761473578400917 4.174167489637343 0.7447230313239537 0.8556658285281824 0.03335353085948684
4.2 -5.486571419596937 -9.672394234193229 4.185822814596292 0.7725375723034494 0.839737416053749 0.03401898842470299
4.3 -5.387976934095062 -9.581711726074833 4.19373479197977 0.8009137798744969 0.823569414641079 0.03469075443715792
4.4 -5.2915094535173495 -9.489487518081777 4.197978064564428 0.8298431059918048 0.8071839402516785 0.03536739133463527
4.5 -5.1971548756055785 -9.39579417903793 4.198639303432351 0.8593132074099691 0.7906061090140074 0.036047222563286886
4.6 -5.10489799111341 -9.300715186530958 4.195817195417549 0.8893078509138197 0.773863745641086 0.03672835738642794
4.7 -5.014722322689239 -9.20434453340895 4.18962221071971 0.9198068725325574 0.7569870386530433 0.037408719247893324
4.8 -4.926609987923989 -9.106786139043727 4.180176151119738 0.9507861944921028 0.7400081497538336 0.03808607716208122
4.9 -4.840541588038077 -9.008153073851503 4.167611485813426 0.9822179022236737 0.7229607866482972 0.038758079491170466
5.0 -4.756496123264342 -8.90856661171733 4.152070488452988 1.014070382137799 0.7058797501018156 0.03942228938148827
5.1 -4.674450935506396 -8.808155130709444 4.133704195203048 1.0463085191604706 0.688800467045999 0.0400762210706678
5.2 -4.594381678333129 -8.70705288747007 4.112671209136941 1.0788939512920437 0.6717585219657668 0.04071737624849457
5.3 -4.516262313835017 -8.605398694660899 4.089136380825883 1.1117853767717398 0.6547891986495263 0.04134327965886823
5.4 -4.44006513533881 -8.503334533608587 4.063269398269776 1.1449389078927226 0.6379270436731721 0.04195151316727574
5.5 -4.365760814478349 -8.40100413570927 4.035243321230921 1.1783084641882429 0.6212054617850099 0.0425397475852658
5.6 -4.2933184706701395 -8.298551566166562 4.005233095496422 1.2118461966590304 0.6046563517583942 0.0431057716360469
5.7 -4.2227057606618725 -8.196119842305153 3.9734140816432806 1.2455029339793953 0.588309789397365 0.043647517557926806
5.8 -4.153888985522404 -8.09384961614899 3.9399606306265857 1.2792286412298968 0.5721937623448093 0.04416308296815799
5.9 -4.086833212231089 -7.991877947377886 3.905044735146797 1.3129728816618382 0.5563339592763646 0.044650748741948416
6.0 -4.021502406906461 -7.89033718842663 3.8688347815201687 1.3466852722882852 0.5407536140798234 0.0451089927930341
6.1 -3.957859576687755 -7.789353998638154 3.8314944219503992 1.3803159246863763 0.525473403814416 0.04553649976720076
6.2 -3.8958669173395624 -7.68904849930365 3.7931815819640873 1.413815863240364 0.5105113976889237 0.045932166773353045
6.3 -3.835485963784388 -7.589533576382506 3.754047612598117 1.4471374140991629 0.495883053037915 0.04629510537409686
6.4 -3.776677740963528 -7.490914332919146 3.7142365919556175 1.4802345593061224 0.481601253334182 0.046624640136935104
6.5 -3.7194029126739347 -7.3932876888526735 3.6738847761787388 1.5130632518210656 0.4676763826511912 0.04692030410668452
6.6 -3.6636219263102947 -7.296742122181242 3.6331201958709474 1.5455816884375597 0.45411643066388124 0.04718183159968584
6.7 -3.6092951517456195 -7.201357542383887 3.5920623906382674 1.5777505388494368 0.44092712221622377 0.04740914874181204
6.8 -3.5563830128959717 -7.107205284653272 3.5508222717573004 1.6095331302960065 0.4281120656479368 0.04760236217697564
6.9 -3.5048461108244178 -7.014348211845662 3.509502101021244 1.640895588280628 0.415672914415178 0.047761746363152516
7.0 -3.454645337536847 -6.922840910071043 3.4681955725341957 1.6718069347872064 0.4036095370129838 0.047887729851637376
7.1 -3.4057419798992568 -6.832729963455931 3.4269879835566734 1.7022391461991553 0.39192019076774826 0.047980880914965954
7.2 -3.358097813358033 -6.744054293732788 3.3859564803747544 1.7321671737481126 0.38060169567534446 0.04804189285249819
7.3 -3.311675185367138 -6.656845550847866 3.345170365480728 1.7615689297875843 0.36964960508195427 0.048071569262400304
7.4 -3.266437088617779 -6.571128541641207 3.304691453023428 1.7904252435056356 0.35905837061218787 0.04807080952690303
7.5 -3.222347224326232 -6.4869216847462585 3.264574460420027 1.8187197898738214 0.3488214993227182 0.048040594716012894
7.6 -3.1793700559648195 -6.404237481099999 3.224867425135179 1.8464389956915113 0.33893170158497893 0.04798197407476048
7.7 -3.137470853921814 -6.323082990775738 3.1856121368539236 1.8735719265426838 0.32938102866794716 0.04789605222161216
