# M=2^2, N=4, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -16.000000000000004 -16.000000000000004 0.0 -0.0 1.1245500303581353 -9.367506770274714e-17
1.0 -14.60164823643846 -15.911058556312968 1.3094103198745077 0.009911839514991338 1.0694669158764092 -1.7496745698106006e-16
2.0 -13.363466995282527 -15.709818865071673 2.346351869789146 0.032020521082404135 1.0152493002713863 -1.882608825561804e-16
3.0 -12.246013791082273 -15.441595252209671 3.195581461127398 0.0610878184549502 0.9614188751245741 1.0921326395818437e-16
4.0 -11.22772987823536 -15.121451427798098 3.8937215495627377 0.09547544856769798 0.907013327251356 -4.897107288839819e-16
5.0 -10.295913295062215 -14.753286283086238 4.457372988024023 0.13490289900040223 0.8512554587103714 1.7770826552814095e-16
6.0 -9.442727869657649 -14.337114632062603 4.894386762404954 0.17958347961407115 0.7937828518769182 -7.596654015939394e-18
7.0 -8.663032883022868 -13.872978182931814 5.209945299908945 0.2297579251697069 0.7347414326943947 1.475405226259718e-16
8.0 -7.953026027484108 -13.363317177353224 5.410291149869115 0.28539738183314667 0.6747780027099276 0.0
9.0 -7.309348450653453 -12.814139463477163 5.50479101282371 0.34603031700807024 0.6149315653954797 -6.271585199758259e-16
10.0 -6.728524459134704 -12.235020752002274 5.5064962928675705 0.4106961166431889 0.5564431141209328 0.0
11.0 -6.206678804992979 -11.638099261610735 5.431420456617756 0.47802333993575574 0.5005345506270531 4.9536967596766705e-17
12.0 -5.739479956674939 -11.036476314782696 5.296996358107758 0.5464025216687444 0.44821956199625007 9.307316757941353e-17
13.0 -5.32224253966197 -10.442563112068456 5.120320572406486 0.6141981094207022 0.40019147669238464 1.2823719217399078e-18
14.0 -4.95011341000396 -9.866821676537107 4.916708266533147 0.6799399814632215 0.3567980926048123 3.6863185273383755e-16
15.0 -4.618274171010613 -9.31710635441782 4.698832183407207 0.74245342865463 0.3180833679459764 -1.3671892012728145e-16
16.0 -4.322114399542403 -8.79857063590692 4.476456236364518 0.8009148264913893 0.2838635543090205 -1.2665038200866871e-18
17.0 -4.057354214218225 -8.313964901728157 4.256610687509933 0.8548438137984825 0.25380919280072034 2.7545063553119932e-17
18.0 -3.8201139103217314 -7.864125438070708 4.044011527748976 0.9040543399398343 0.22751552375849243 -2.3717505038011792e-17
19.0 -3.606939279968225 -7.448499206648117 3.8415599266798917 0.9485874011409274 0.20455459657677405 4.2197386756030252e-16
20.0 -3.4147950744968 -7.065612582765921 3.65081750826912 0.9886425767944119 0.18450935855775089 -7.88069779334567e-16
21.0 -3.241038530785909 -6.713445807492498 3.472407276706589 1.0245183033502445 0.16699321398814387 -1.8022044792761806e-17
22.0 -3.083382416888234 -6.389709002958506 3.3063265860702717 1.0565649009573455 0.1516592482057951 -8.384012390049251e-16
23.0 -2.939854221630336 -6.092032548277218 3.152178326646882 1.0851505421109726 0.13820278586639162 4.2902871553939536e-16
24.0 -2.8087556715431616 -5.818090229428968 3.0093345578858064 1.1106383988549373 0.12636003994552755 1.9576628900114322e-19
25.0 -2.688624936467038 -5.5656731364017675 2.8770481999347295 1.133372537670407 0.11590472975499899 -2.5166456868815513e-17
26.0 -2.5782026508108697 -5.332729323367795 2.7545266725569255 1.153670186200985 0.106643854296424 8.179825747681492e-16
27.0 -2.476402105090048 -5.117380729906204 2.640978624816156 1.1718183719225552 0.09841331833204674 3.2215844480104147e-17
28.0 -2.382283516736279 -4.917925678740783 2.535642162004504 1.1880733921897346 0.09107378744231819 -8.879008302509537e-16
29.0 -2.2950320582012345 -4.732832716954023 2.4378006587527894 1.2026620001697783 0.08450694935463181 4.440591703322284e-16
30.0 -2.21393922209696 -4.5607296650988465 2.3467904430018867 1.2157835375657136 0.07861224213752949 -1.731750923987236e-17
31.0 -2.138387081990927 -4.400390382185776 2.2620033001948485 1.2276125066471042 0.07330404568939543 -4.560164392038626e-20
32.0 -2.067835027902901 -4.250720819056525 2.182885791153624 1.2383012616054945 0.06850930085096699 4.4406921385413376e-16
33.0 -2.001808595762258 -4.11074530435139 2.108936708589132 1.2479826283086257 0.06416550712316599 1.7614018767062893e-20
34.0 -1.9398900573790865 -3.979593595073517 2.0397035376944306 1.2567723473238817 0.060219047054999926 -8.749199795736428e-16
35.0 -1.8817104848689663 -3.856488959644613 1.9747784747756465 1.264771290223214 0.05662378785616844 -8.757330725162607e-16
36.0 -1.8269430474207538 -3.740737396669717 1.9137943492489629 1.2720674333135296 0.05333991575236317 1.1730293268904653e-17
37.0 -1.7752973373033034 -3.631717993541689 1.8564206562383854 1.278737593065768 0.05033296439323481 5.537417704425845e-18
